avg_trend_strength,avg_seasonal_strength,median_trend_strength,median_seasonal_strength,test_trend_strength,test_seasonal_strength
0.8615517415993198,0.8151108807309505,0.9955219336160295,0.987307351356699,0.98864837090548,0.9919672173330345
0.7725482772743126,0.9796718070106726,0.5547295483996076,0.9971740239622194,0.8374566970833126,0.9639220059266128
0.765062300825345,0.8266666908278311,0.8223039396770033,0.8761374019114323,0.7731780722174273,0.9073980236057049
0.9872347403131234,0.9937830101205509,0.9975021011763137,0.9995390086709713,0.9584117563165646,0.99416738027759
0.7707842088541392,0.3400514678925044,0.692736305456758,0.4533280007802446,0.8492924666947155,0.2161210873348205
0.4067318008790828,0.7034611174257106,0.22508257819531474,0.6677880166881824,0.1251408208183472,0.9182823833955689
0.7277904253926225,0.8182285474869987,0.7023337543736485,0.8485550477623117,0.9236267245113854,0.9054543584768221
0.817088333969475,0.8487550136640204,0.9747208823846725,0.8028140344463537,0.6312536346153146,0.9057394079424853
1.0,1.0,1.0,1.0,1.0,1.0
0.8341485518411828,0.9865895458497782,0.9282146175963917,0.998652372077613,0.7580377254665938,0.9702812660910854
